CONTRACTOR,OBLIGATED_MILLIONS,AWARD_COUNT,PCT_OF_TOTAL,CUMULATIVE_PCT
THE BOEING COMPANY,13663.3,714,13.89,13.89
LOCKHEED MARTIN,11962.7,1068,12.16,26.05
RAYTHEON / RTX,6655.4,726,6.76,32.81
NORTHROP GRUMMAN,5283.2,663,5.37,38.18
"SIERRA NEVADA COMPANY, LLC",2364.7,179,2.40,40.59
L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,1735.7,229,1.76,42.35
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1442.7,26,1.47,43.82
BOOZ ALLEN HAMILTON INC,1400.9,257,1.42,45.24
SPACE EXPLORATION TECHNOLOGIES CORP.,1393.2,44,1.42,46.66
THE AEROSPACE CORPORATION,1230.3,1,1.25,47.91
"CACI, INC. - FEDERAL",1017.0,71,1.03,48.94
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",899.5,75,0.91,49.85
MINISTRY OF DEFENSE,863.5,12,0.88,50.73
GENERAL ELECTRIC COMPANY,847.2,74,0.86,51.59
HII MISSION TECHNOLOGIES CORP,726.4,102,0.74,52.33
"AMENTUM SERVICES, INC.",711.7,96,0.72,53.06
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",702.8,82,0.71,53.77
"KBR WYLE SERVICES, LLC",695.0,164,0.71,54.48
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,693.1,275,0.70,55.18
"AEVEX AEROSPACE, LLC",670.6,17,0.68,55.86
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,638.0,98,0.65,56.51
"LEIDOS, INC.",633.2,189,0.64,57.15
"UNITED LAUNCH SERVICES, LLC",630.9,32,0.64,57.80
ROLLS-ROYCE CORPORATION,600.6,70,0.61,58.41
THE MITRE CORPORATION,556.6,11,0.57,58.97
