STATE_CODE,STATE_NAME,OBLIGATED_MILLIONS,AWARD_COUNT,PCT_OF_TOTAL,CUMULATIVE_PCT
CA,CALIFORNIA,13856.0,4901,14.67,14.67
TX,TEXAS,8719.2,4935,9.23,23.89
VA,VIRGINIA,7834.1,3253,8.29,32.19
FL,FLORIDA,7315.7,5209,7.74,39.93
CO,COLORADO,6315.9,1964,6.68,46.61
MO,MISSOURI,4806.9,707,5.09,51.70
MA,MASSACHUSETTS,4239.8,1217,4.49,56.19
GA,GEORGIA,4140.5,2058,4.38,60.57
AZ,ARIZONA,3781.2,1694,4.00,64.57
OH,OHIO,3627.9,2989,3.84,68.41
WA,WASHINGTON,3515.8,490,3.72,72.14
OK,OKLAHOMA,3089.6,1816,3.27,75.41
CT,CONNECTICUT,2569.5,378,2.72,78.13
UT,UTAH,2551.1,1568,2.70,80.83
MD,MARYLAND,2484.9,1466,2.63,83.46
AL,ALABAMA,2003.4,1533,2.12,85.58
IN,INDIANA,1403.8,320,1.49,87.06
DC,DISTRICT OF COLUMBIA,1160.0,916,1.23,88.29
IL,ILLINOIS,1101.0,1091,1.17,89.46
PA,PENNSYLVANIA,1017.7,376,1.08,90.53
NV,NEVADA,970.0,887,1.03,91.56
NY,NEW YORK,897.8,876,0.95,92.51
NM,NEW MEXICO,868.6,1305,0.92,93.43
TN,TENNESSEE,632.7,140,0.67,94.10
NH,NEW HAMPSHIRE,584.5,178,0.62,94.72
